symptom,disease,doctor
"Gradual onset of thyroid enlargement, pain, and discomfort in the throat area",Chronic Thyroiditis,Endocrinologist
"Hematuria, shock, pain, lower abdominal mass, high fever, wound bleeding",Renal Injury,General Physician
Nasal leakage of fluid,Cerebrospinal Fluid Rhinorrhea,General Physician
"Yellow keratinized lesions on palms and soles, fissuring of the hands and feet, excessive keratinization of the skin on palms and soles",Diffuse Palmoplantar Keratoderma,General Physician
"Loss of appetite, nausea, vomiting, indigestion, anemia, nocturia, urinary incontinence",Pediatric Urinary Tract Obstruction,General Physician
"Snoring, sleep apnea, polyuria, somnolence, suspicion, pathological jealousy, panic attacks, fatigue, thick neck, short neck, aged appearance, cyanosis of lips",Obstructive Sleep Apnea-Hypopnea Syndrome (OSAHS),General Physician
"Blackheads, papules, pustules, nodules",Lupus Vulgaris,General Physician
"Hematochezia, intestinal bleeding, azotemia, hypovolemic shock, nausea, fatigue, abdominal pain, melena",Pediatric Gastrointestinal Bleeding,General Physician
"Right upper abdominal distension and pain, loss of appetite, fatigue, jaundice, spider nevi, palmar erythema, or asymptomatic",Alcoholic Fatty Liver,Gastroenterologist
"Shoulder pain, insomnia, limited movement including flexion, extension, abduction, and elevation of the shoulder",Periarthritis of Shoulder,General Physician
"Shortness of breath, difficulty breathing, chest pain, chest tightness, abnormal breathing, palpitations, headache, tachycardia, cramps, dizziness, consciousness disorders",Hyperventilation Syndrome,General Physician
"Palpitations, precordial discomfort, dyspnea, orthopnea, cardiac murmur, heart failure, head nodding sign, chest pain, sudden death, cardiac enlargement",Aortic Regurgitation,General Physician
"Epidermal hyperkeratosis, calcification, nodules, skin erythema, granuloma",Surfer's Nodule,General Physician
Irregular vaginal bleeding and discharge,Vaginal adenocarcinoma,General Physician
"Mucosal detachment, shock, abdominal pain, spasm and hypertrophy of the puborectalis muscle, tenderness in the lateral abdominal wall or posterior lumbar region, rectal stenosis, mucosal necrotic ulcers, nausea and vomiting",Colorectal Injury,General Physician
"Recurrent infections, ulcers, abscesses, nipple retraction",Non-lactational Periareolar Fistula,General Physician
"Elbow joint deformity, inability to flex the elbow, localized pain in the radial head",Distal Humeral Epiphysiolysis,General Physician
"Laryngeal edema, dysphagia, dyspnea, fatigue, pulmonary infection, edema, pharyngeal congestion, pain",Pretracheal space infection,Infectious Diseases Specialist
"Unresponsiveness, convulsions, frothing at the mouth",Disorders of consciousness,General Physician
"Persistent fever, strawberry tongue, rash, hard edema of the palms, abdominal pain, diarrhea, perianal skin erythema",Kawasaki Disease,General Physician
"Increased eye discharge, sandy appearance of the conjunctiva, tearing, foreign body sensation in the eyes, trichiasis, eye pain, dry eyes, eyelid ptosis, inability to move the eyeball voluntarily, red eye",Trachoma,General Physician
"Nasal congestion, foreign body sensation in the nose, nosebleeds, difficulty breathing, snoring",Nasopharyngeal Carcinoma with Ocular Manifestations,General Physician
"Weight loss, fatigue in pregnant women, hemoptysis accompanied by chest pain, fever accompanied by cough, expectoration, chest pain, night sweats",Pregnancy Complicated by Pulmonary Tuberculosis,General Physician
"Petechiae, ecchymosis, nosebleeds, gum bleeding, menorrhagia, hematuria, gastrointestinal bleeding",Pediatric Thrombocytopenia,General Physician
"Chest pain, dysphagia, anorexia, edema of lower extremities, jugular venous distention, hepatomegaly, ascites, fatigue, weakness, dizziness, arrhythmia, crackles",Mitral Valve Regurgitation,Cardiologist
"Shortness of breath, difficulty breathing, cyanosis, cough, recurrent pneumonia, malnutrition, nodules, rales, pleural effusion, respiratory failure, chest pain, abnormal breathing",Pneumocystis Pneumonia (PCP),General Physician
"Headache, dizziness, reduced appetite, nausea and vomiting, abnormal sweating, diarrhea, potential poisoning, abdominal pain, vertigo, coma, abnormal appetite, fever",Sodium Pentachlorophenate Poisoning,General Physician
"Subjective palpitations, precordial pain, dyspnea, irritability, hyperhidrosis, trembling, dizziness, insomnia",Cardioneurosis,General Physician
"Intermittent claudication and episodic weakness, pain in the distal lower limbs",Spinal Vascular Disease,General Physician
"Abdominal pain, diarrhea, abdominal mass",Wandering spleen,General Physician
"Abdominal pain, vomiting of blood or coffee-ground-like material, melena",Stress Ulcer,General Physician
"Swelling and pain in large joints, limited mobility, chills, high fever, rash",Sepsis in the Elderly,General Physician
"Abdominal distension, nausea and vomiting, abdominal mass, bloody stool, abdominal hemorrhage, abdominal pain, diarrhea",Primary Malignant Lymphoma of the Small Intestine,General Physician
"Vomiting, nausea, reduced food intake, bloating of the upper abdomen in the fasted state, and the characteristic signs of gastric retropulsion and splash sound in the upper abdomen are indicative of pyloric obstruction.",Gastric and Duodenal Ulcer Scar-induced Pyloric Obstruction,General Physician
"Maculopapular rash, cough, rib pain, meningitis, herpes",Coxsackie and Echovirus Infections,Infectious Diseases Specialist
"Recurrent episodes of skin swelling, severe pain in swellings accompanied by itching sensations",Loiasis,General Physician
"High fever, convulsions, coma",Pediatric Summertime Fever,General Physician
"Fever, fatigue, general malaise, loss of appetite, local lymph node swelling and pain",Herpes Zoster,Dermatologist
"The symptoms of chronic diarrhea include watery diarrhea with mucus and a foul smell without pus or blood, abdominal pain accompanied by diarrhea, fever with abdominal pain, diarrhea, nausea, and vomiting.",Chronic Diarrhea,General Physician
"Hematochezia, mucus stool, diarrhea, abdominal discomfort, weight loss, anemia, purulent discharge, polyps",Tumorous Polyps,Oncologist
Abdominal pain and bloody stool of unknown origin,Ileal Atresia,General Physician
"Nodules, difficulty breathing, sensation of ants crawling",Vulvar Lymphangioma,General Physician
"Miliaria-like rash, papules",Lichen Scrofulosorum,General Physician
"Dyspnea, exertional dyspnea, orthopnea, cough, palpitations, fatigue, insomnia, productive cough, hemoptysis, upper abdominal pain, jugular vein distention, and lower limb edema.",Chronic Heart Failure,Cardiologist
"Abdominal pain, periumbilical pain, fever, abdominal distension, weight loss, weakness",Helminthiasis,General Physician
"Abdominal pain, abdominal distension, shock",Small Intestinal Rupture,Gastroenterologist
"The tumor is mainly located under the skin, with unclear boundaries.",Cutaneous Meningioma,Dermatologist
"Hot flashes, night sweats, chest pain, cough",Thymic carcinoma,Oncologist
"Limited motor function, headache, dizziness",Hypertensive Cerebral Hemorrhage,General Physician
"dizziness, shock, hunger sensation",Hypoglycemic Syndrome,Endocrinologist
"Anorexia, abdominal distention, jaundice, ascites, melena, weight loss, splenomegaly, portal hypertension",Drug-induced Cirrhosis,General Physician
"Excessive keratinization of the skin on palms and toes, skin lesions may appear as keratotic protrusions, epidermal keratinization, papules, scales, and telangiectasia",Actinic Keratosis,Dermatologist
"Hypertension, Hematuria, Proteinuria",Renal Vascular Anomalies and Compression,General Physician
"Pale complexion, drowsiness, listlessness, weak convulsions, intermittent spasms, or trembling hands, twitching muscles",Infantile Spasms,General Physician
"Dyspnea, fatigue, palpitations, oliguria, back pain",Multiple Organ Dysfunction Syndrome (MODS),General Physician
"History of head trauma, scalp laceration, bleeding, pain",Scalp Injury,General Physician
"Cyanosis, clubbing of fingers and toes, heart murmur, patent ductus arteriosus, bounding pulse, capillary pulsation",Patent Ductus Arteriosus (PDA),General Physician
"Hemoptysis, pulmonary edema, jugular vein distension, hepatomegaly, ascites, atrial fibrillation",Mitral Annular Calcification,Cardiologist
"Numbness in the mouth, tingling sensations, anorexia, drooling, nausea, vomiting, diarrhea, muscular tremors, convulsions, paralysis, loss of appetite, headache, malaise, conjunctival inflammation, tearing, cyanosis of the skin",Pesticide Poisoning,General Physician
"Stomach distension, chest tightness, no pain on compression, reduced appetite, worsening after eating, irregular bowel movements",Pi-Man Syndrome,General Physician
"In the early stages, a lump the size of a broad bean can be felt within the breast, which is relatively hard, movable, with intermittent concealed pain, dull pain, and stabbing pain, breast lump, breast pain",Breast Cancer in the Elderly,Oncologist
"Headache, swelling pain, dizziness, inability to concentrate, depression, slow response",Cranial Trauma,General Physician
"Constipation, restlessness, muscle atrophy, lethargy, anorexia, dry hair, pale complexion, pallor",Pediatric Malnutrition,General Physician
"Lip swelling, lip cracking, lip suppuration",Exfoliative Cheilitis,General Physician
"Redness, swelling, heat, and pain in the lacrimal sac area. In severe cases, it may affect the upper and lower eyelids or the cheek, with submandibular and preauricular lymph nodes enlargement.",Acute Dacryocystitis,General Physician
"Mild pain, localized progressive swelling, muscle atrophy",Ameloblastoma,General Physician
"Excessive sweating in the axillae, palms, and soles, emotional hyperhidrosis, palmar and plantar hyperhidrosis, hyperkeratosis with sweating of the palms and soles, compensatory hyperhidrosis of the upper body, heat-induced sweating of the upper body",Hyperhidrosis,Dermatologist
"lymph node enlargement, localized lymphadenopathy, lymphadenalgia, lymphangial rupture, chills, high fever, scrotal redness and swelling, testicular pain, epididymal hardening and swelling, cough, fear of cold, fever",Filariasis,General Physician
"Presence of a mass on the chest wall, some patients may experience pain, and if the mass becomes infected, it can result in redness, erosion, and even rupture with pus discharge.",Chest Wall Soft Tissue Tumor,Oncologist
"Fever, coma, diarrhea, nausea, bleeding",Vector-borne Infectious Diseases,General Physician
"Inward foot, calf muscle atrophy, equinus, adduction of the forefoot, internal rotation of the tibia, inability to dorsiflex in passive correction",Congenital Talipes Equinovarus,General Physician
"Fever, weight loss, fatigue, decreased appetite, eye pain, polyuria, red eyes, visual disturbances, photophobia, abdominal pain",Tubulointerstitial Nephritis and Uveitis Syndrome,General Physician
"Pharyngeal pain, or may be asymptomatic",Elongated uvula,General Physician
,COVID-19 Pneumonia,General Physician
"Confusion, coma, hemiplegia, seizures, aphasia, high fever, tachycardia, hypotension, coughing, respiratory distress, cyanosis",Post-traumatic Cerebral Fat Embolism,General Physician
"skin thickening, skin itching, blood scabs, scratch marks on the skin",Prurigo Nodularis,General Physician
"Recurrent infections, eczema, hair loss, pustules, decreased immunity, thrombocytopenic purpura, hemolytic anemia, febrile infections, infectious rhinitis, eye infections, bacterial infections, lung infections",Pediatric Primary Immunodeficiency Diseases,General Physician
"Increased intracranial pressure, headache, nausea and vomiting, dizziness, lightheadedness, consciousness disorder, hemiplegia, aphasia",Subacute Epidural Hematoma,General Physician
"Difficulty in feeding, unstable gait, intellectual decline, epileptic and epileptiform seizures, slow pulse or knots, focal neurological signs, slow blood flow in organs throughout the body, paralysis, muscular hypotonia, erythrocytosis, and erythematous skin coloration",Acute Cerebrospinal Neuronal Erythrocytosis,Neurologist
"Bent waist, hunchback posture, back stiffness, and pain",Ankylosing Spondylitis,General Physician
"Premature ejaculation, anejaculation, and retrograde ejaculation",Ejaculatory Dysfunction,General Physician
"Chills, cough, expectoration, chest pain, high fever, hemoptysis, headache, restlessness, dyspnea, persistent fever, abdominal distension",Aspiration Pneumonia in the Elderly,General Physician
"Limb weakness, urinary and fecal incontinence, limb numbness",Spinal Adhesion,General Physician
"Seizures and seizure-like episodes, headaches, calcification, recurrent bleeding, intracranial hemorrhage",Cerebral Cavernous Malformations,General Physician
"Difficulty in urination, urinary difficulty and retention, voiding dysfunction, urinary incontinence, thinning or interruption of urine stream",Female Bladder Neck Obstruction,Urologist
"Early breast development, early pubic hair growth, abdominal distension, abdominal pain, precocious puberty, pelvic mass, vaginal bleeding",Premature Thelarche,General Physician
"Enlarged central scotoma, visual impairment, retinal Roth spots, increased hyperopic refractive error, vitreous hemorrhage, and hazy vision",Proliferative Vitreoretinopathy (PVR),General Physician
"Paranoid delusions, abnormal behavior and emotions, mental disorder",Induced Delusional Disorder,Psychiatrist
"The tumor often has a complete capsule, is relatively hard, with a few being softer or cystic, sensation of a foreign body, discomfort in the pharynx, difficulty swallowing, and slurred speech",Pharyngeal Mixed Tumor,General Physician
"Growth retardation, polyuria, abdominal distension, diarrhea, constipation, alternating weakness, paralysis, wasting, polydipsia",Fanconi Syndrome,General Physician
"Flat nasal bridge, flat face, palatal abnormalities, scoliosis, spinal dysraphism, cervical vertebrae segmentation abnormalities, wide interocular distance, elbow dislocation, distinctive facial appearance, hand and foot abnormalities",Pediatric Flat Face Syndrome with Joint Dislocation and Foot Abnormalities,General Physician
"Dizziness, abdominal distension, difficulty in defecation, constipation",Feng Mi (Constipation due to Wind Syndrome),General Physician
"Sensory disturbances, involuntary movements, ataxia, conduction block",Friedreich's Ataxia,General Physician
"Fever, vomiting, diarrhea, watery stools similar to egg drop soup, absence of pus or blood, dehydration, acidosis, and electrolyte imbalance due to vomiting and diarrhea",Pediatric Rotavirus Gastroenteritis,Gastroenterologist
"Fever, cough, chills, chest pain, weight loss, brain abscess, fever with chills, weight loss, pleural effusion, poor appetite",Nocardiosis,Cardiologist
"Dry skin, itching, skin calcification, papules",Transient Acantholytic Dermatosis,Dermatologist
"Hypertension, dizziness, nausea and vomiting, headache, coma, palpitations, head congestion, increase in diastolic pressure, vision disorders, rapid weight gain in infants, syncope, irritability",Pediatric Hypertension,Neurologist
"Fever, chills, generalized body ache, restlessness and crying, abdominal pain, leg pain, complete flaccid paralysis, urinary and fecal retention",Pediatric Epidural Abscess,General Physician
"Raynaud's phenomenon, joint pain, fatigue, swelling and redness of the skin on the back of the hands, capillary dilation, sequential pallor, cyanosis and erythema of the extremities, gastrointestinal symptoms, kidney damage",Pediatric Mixed Connective Tissue Disease (MCTD),General Physician
"Hypertension, proteinuria, hematuria, edema, pleural effusion, ascites accompanied by liver and spleen enlargement and anemia, persistent fever",Malaria Nephropathy,General Physician
"Dandruff, excessive scalp flakes, itchy scalp",Seborrheic Dermatitis of Scalp,Dermatologist
"Extra fingers, poor finger development, adjacent fingers fused together or partially fused",Congenital Polysyndactyly,General Physician
"Neck pain, dysphagia, retrosternal pain, fever with chills, high fever, septicemia, odynophagia, pharyngalgia, abscess, and acid reflux",Suppurative Esophagitis,General Physician
"Skin appears milky white or pinkish, tender and dry; hair turns pale white or light yellow; irises are pink or light blue, often accompanied by photophobia, tearing, nystagmus, and astigmatism.",Albinism,General Physician
"Hypoglycemia, cough, chest pain, fever",Diffuse Mesothelioma,Oncologist
"Low-grade fever, dry cough, chest discomfort, hemoptysis",Simple Pulmonary Eosinophilia,General Physician
"Itchy nose, sneezing, wheezing, coughing, difficulty breathing, coughing up phlegm, stridor, paradoxical pulse, shoulder-shrugging wheezing, runny nose, chest tightness, wheezing sounds",Dust Mite Allergy Asthma,Pulmonologist
"Pale yellow skin, plaques, nodules, skin lesions",Microcystic Adenocarcinoma,Oncologist
It often starts as pale brown color and then expands around turning darker.,Tinea Nigra,Dermatologist
"High fever with chills, diaphoresis, petechiae, leukocytosis, anemia, migratory abscesses, right heart failure, myocardial abscess, febrile infection, coughing, expectoration, hemoptysis",Acute Infective Endocarditis,General Physician
"Hematuria, Dysuria, Genital injury, Shock",Male Genital Trauma,General Physician
"Abdominal pain, bloating, diarrhea, loss of appetite, tarry stools, colic, emaciation, anemia, and abdominal mass.",Small Intestinal Tumors,General Physician
"Fever, decreased appetite, weight loss, palpable mass in the upper abdomen, rarely jaundice and ascites occur.",Liposarcoma,General Physician
"Hoarseness, weak voice, weak cough",Recurrent Laryngeal Nerve Injury,General Physician
"Maculopapular rash, back pain, nausea, diarrhea, joint pain, chills, coma, convulsions",Marburg Virus Disease,General Physician
"Severe pain, reluctance to move, incomplete paralysis, complete paralysis",Spinal Fracture,Orthopedic Surgeon
"Oral burning sensation, dizziness, headache, nausea, vomiting, abdominal pain, watery blood stools, convulsions, tinnitus, diplopia, difficulty breathing, arrhythmia",Barium Poisoning,General Physician
"Epidermal keratinization, nodules",Acrokeratoelastoidosis,General Physician
"Aseptic pustules, nail shedding, generalized pustulosis, scrotal tongue",Pustular Psoriasis of the Extremities,Dermatologist
"Commonly found on the skin of the face, the extensor surfaces of the limbs, particularly the dorsum of the hands and feet, as well as the waist and buttocks. Blue nevi are usually solitary but can also be multiple. They appear as blue, slate blue, or blue-black papules, nodules, or plaques, with diameters ranging from a few millimeters to several centimeters.",Blue Nevus,Dermatologist
"Jaundice, intracranial hemorrhage, thrombocytopenia, petechiae, purpura",Neonatal Alloimmune Thrombocytopenia (NAIT),General Physician
"Night sweats, irritability, nodules, abscess, skin adhesion, chills, backache, scrotal swelling pain",Orchidoptosis,General Physician
"Distension and burning pain in the flanks and ribs, bloating, anorexia, bitter taste and aversion to smell, short and red urine, irregular bowel movements, jaundice in body and eyes",Damp-Heat in Liver and Gallbladder,Gastroenterologist
"Hearing loss, auditory dysfunction",Cochlear Implant,General Physician
"Fatigue, a sensation of falling of the external genitals, limb weakness, palpitations, shortness of breath",Uterine Prolapse,General Physician
"Pain, numbness, difficulty in walking",Lower Limb Nerve Injury,General Physician
"Loss of consciousness, fainting",Coma,General Physician
"Constipation, ascites, jaundice, abdominal pain accompanied by nausea, vomiting, epigastric fullness, recurrent fever, upper gastrointestinal bleeding, abdominal mass, epigastric mass and abdominal distension, abdominal pain",Pancreatic Cyst,Gastroenterologist
"Chills, fever, abdominal cramps, bloating, nausea, vomiting",Salmonella Infection,General Physician
"Swelling and hemarthrosis of the knee joint, abrasions of the skin, subcutaneous hematoma, pain in the knee joint",Patellar Fracture,General Physician
"Fever, sweating, aversion to wind, cough",Wind-Heat Common Cold,General Physician
"Fever, fatigue, night sweats, anemia, persistent cough, chest pain, itching skin, weight loss, dyspnea",Hypereosinophilic Syndrome,General Physician
"Recurrent bleeding, nasal congestion with purulent or bloody discharge, epistaxis, hearing loss, proptosis, nosebleeds, hemoptysis, diplopia, visual impairment, olfactory dysfunction",Nasopharyngeal Angiofibroma,General Physician
"Diarrhea, abdominal pain, purulent bloody stool, hematochezia, low fever, vomiting, hematemesis and melena, fever, dyspepsia",Fungal Enteritis,Gastroenterologist
"Pain, tenderness, neck swelling",Acute Radiation Thyroiditis,Endocrinologist
"Fever, anemia, bleeding, infection, weight loss, joint pain, intracranial hemorrhage",Acute Leukemia,General Physician
"Nausea, severe pain, insomnia, headache, purpura",Painful Purpura Syndrome,Dermatologist
"Pain, swelling, and movement impairment",Pubitis,General Physician
"Floaters, sudden decrease in vision, flashes of light",Retinal Break,General Physician
"Red eyes, itchy eyes, drooping eyelids",Ocular Disease,General Physician
"Erythema-like rash, joint pain, unexplained fever",Eosinophilic Granulomatosis with Polyangiitis (Churg-Strauss Syndrome),General Physician
"Numbness in limbs or trunk, facial muscle spasms, limb convulsions, carpopedal spasms, anxiety, restlessness, hallucinations, rough skin, abnormal pigmentation, hair loss, edema, diminished parathyroid function",Hypoparathyroidism Myocarditis,Endocrinologist
Epidermal keratinization,Actinic Keratosis,Dermatologist
"Amenorrhea, aging, infertility",Ovarian Insufficiency Syndrome,General Physician
"Submandibular lymph node enlargement and tenderness, neck stiffness, cervical lymphadenopathy, neck sprain",Cervical Disease,General Physician
"Shortening of the hands, hip joint pain, knee pain, knee valgus",Multiple Epiphyseal Dysplasia,General Physician
"Painless ulcers, nodules, erythema",Oral Mucosal Carcinoma,General Physician
"Palpitations below the heart, abdominal pain, and protruding lumps from below the heart to the navel",Fulian,General Physician
"Skeletal deformities, limb shortening, limited shoulder joint movement",Hereditary Multiple Exostoses,General Physician
"Ulcers, cysts, abscesses, skin granulomas",Lomentospora prolificans infection,Infectious Diseases Specialist
"Bleeding, pain, swelling, deformity, dysfunction, abnormal movements in the hand",Hand Trauma,General Physician
"Squatting episodes, clubbing of fingers and toes, dyspnea, pulmonary stenosis, ventricular septal defect, right aortic arch, ventricular hypertrophy, neonatal cyanosis, neonatal tachypnea, systolic murmur, tremors, prone to syncope",Tetralogy of Fallot in children,General Physician
"Reduced gastric intake, weight loss, persistent pain in the upper abdomen",Gastric Stump Cancer,Oncologist
"Fever with chills, sore throat, runny nose, coughing, fatigue, sneezing, paroxysmal nasal congestion, and alternating sensations of cold and heat throughout the body",Parainfluenza,General Physician
"Severe and involuntary twisting movements of the neck, limbs, trunk or even the entire body, often around the body's long axis. These twisting movements are typically slow and recur intermittently, with excessive extension or flexion of the hands and feet.",Torsion Dystonia,General Physician
"Dyspnea, hemoptysis, pink frothy sputum, chest pain with tightness, palpitations, cough, hoarseness, dysphagia, fatigue, weakness, diminutive foramen of the diaphragm, systolic murmur",Mitral Stenosis,Cardiologist
"Localized pain, swelling, skin redness, joint effusion, pain and restricted movement in joints, low-grade fever, fatigue, general malaise",Granulocytic Sarcoma,Oncologist
"Fever, joint stiffness, joint swelling, hematuria, proteinuria, hypertension, increased nocturia, subcutaneous nodules",Rheumatoid Arthritis Renal Damage,General Physician
"Infantile spasms, abnormal psychomotor development in children, mental disorders, generalized tonic-clonic seizures, intellectual developmental delay, speech development delay, hemiparesis, clonic-tonic seizures",Early Infantile Epileptic Encephalopathy,General Physician
"Initially presents as grain-sized, with a white pustule on top. Despite its small size, it has deep roots, feels hard and anchored to the bone, and causes severe pain. It is highly aggressive, easily spreads, and can lead to systemic symptoms.",Carbuncle,Dermatologist
"Cough, expectoration, fatigue, chest tightness, abdominal pain, chest pain, rales, weight loss, nodules, anorexia, low fever, night sweats",Pulmonary Acariasis,General Physician
"fatigue, general weakness, depressive mood, suspiciousness, debility, anorexia, malnutrition, pallor, mild anemia, gingival swelling, bleeding",Vitamin C Deficiency,Endocrinologist
"Weakness, loss of appetite, splenomegaly, ascites, upper gastrointestinal bleeding, pale complexion, darkening, or jaundice",Portal Hypertension,Gastroenterologist
"Recurrent bacterial infections, associated arthritis",Congenital X-Linked Agammaglobulinemia,General Physician
"Skin lesions, edema, erythema, erosion, papulovesicles, pustules, pruritus, pain, blisters, bullae, burning sensation, itching eyes, itching nose, sneezing, and rhinorrhea",Phytodermatitis,Dermatologist
"Headache, vomiting, drowsiness, decreased respiration and heartbeat, which can lead to severe cases of coma, seizures, and papilloedema.",Water Intoxication,General Physician
Small fistula opening on the facial skin with dripping of saliva,Salivary Fistula,General Physician
"Seizures, hydrocephalus, increased anterior fontanelle tension, enlarged skull, delayed closure of fontanelles",Pediatric External Hydrocephalus,General Physician
"Palpitations, chest tightness, shortness of breath, discomfort of tachycardia",Atrial Fibrillation,Cardiologist
"Paralysis, abnormal gait, sciatica, nerve root injury, sensory dysfunction",Sciatic Nerve Injury,General Physician
"Clitoromegaly, ambiguous genitalia","Adrenogenital Syndrome, Pseudohermaphroditism",General Physician
"Scrotal sagging, swelling discomfort, and traction pain",Hydrocele Testis,Urologist
"Headache, rash, insomnia, coma, nausea and vomiting, constipation, high fever, fever with chills, dizziness, fatigue, chills, and irregular fever",Scrub Typhus,General Physician
"Constipation, ureteral dilation, urgency of urination, frequency of urination, urinary incontinence, male infertility, pelviectasis, lower abdominal mass",Duplex Kidney,Urologist
"Hoarseness, dryness, and irritating cough",Laryngeal Amyloidosis,General Physician
"excessive dandruff, scaling, and hair loss",Pityriasis Amiantacea,General Physician
"Nodules, telangiectasia, desquamation, crusting, ulceration, hyperpigmentation, and hypopigmentation",Basal Cell Carcinoma,General Physician
"heart failure, cardiac murmur, hypotension, cyanosis, myocardial hypertrophy, left heart failure, dyspnea, feeding difficulties, breathlessness, pallor, systolic murmur, fatigue",Aortic Valve Stenosis,General Physician
"Difficulty swallowing, vascular malformation, arteriosclerosis",Dysphagia Due to Vascular Malformation,General Physician
"The abdominal wall is as thin as paper, the internal organs are vaguely visible, and the skin under the ribs is reddened.",Prune Belly Syndrome,General Physician
"Lumbosacral skin protrusion or depression, lower limb deformity, pain, urinary retention, and difficulty urinating",Tethered Cord Syndrome,General Physician
"Inability of the eyeball to move voluntarily, eye defects",Generalized Fibrosis Syndrome of Extraocular Muscles,General Physician
"Jaundice, right upper quadrant pain, nausea",Iatrogenic Bile Duct Injury,General Physician
"Initially appearing as pin-sized papules, they gradually enlarge to the size of a pea or larger, often round and elevated above the skin surface, with a rough, keratinized, gray-yellow surface. Some have keratinized spiky protrusions, hence also known as verruca.",Warts,Dermatologist
"Conjunctival congestion, nystagmus, elevated intraocular pressure, loss of pigment",Exfoliation Syndrome,General Physician
"Hematochezia, inguinal lymphadenopathy, anal fissure, leukoplakia, anal pruritus",Perianal Tumor,Oncologist
"Hearing loss, Tinnitus",Otitis Media,General Physician
"Heaviness and discomfort in both legs, difficulty in extending and flexing the knee, mild edema, pain, limited mobility, and limping",Synovitis of the Knee Joint,General Physician
"Dry cough, hemoptysis, shortness of breath, dyspnea, coughing up blood, respiratory failure, clubbing, weakness, lung crackles, fatigue, asthenia, loss of appetite",Pediatric Idiopathic Pulmonary Fibrosis,General Physician
"Deafness, Keratotic plugs, Visual impairment, Photophobia",Keratosis Follicularis Spinulosa Decalvans (KFSD),General Physician
"Pain or numbness at the site of the bite, swelling, bruising, blisters or blood blisters, lymphangitis and enlarged lymph nodes around the wound or affected limb, painful to touch, symptoms post-injury may include dizziness, chest tightness, fatigue, drooling, and blurred vision.",Snakebite,General Physician
"Patients with a clear history of trauma or hypertension may experience headache, nausea, vomiting, hemiplegia on one side, sensory impairment on one side, mild consciousness disturbances after emotional excitement. If combined with intracranial hemorrhage in other locations, severe consciousness disturbances such as restlessness and coma may occur.",Basal Ganglia Hematoma,General Physician
"Neck pain, restricted movement, cervical muscle spasms, widespread tenderness in the neck, severe localized symptoms, signs of paralysis of varying degrees in most cases except for a few fortunate ones due to spinal cord injury, and a higher proportion of complete spinal cord injuries.",Cervical fracture with dislocation,General Physician
"Nausea and vomiting, palpable soft sausage-like mass in the right lower abdomen, colonic obstruction, defecation disorder, constipation with severe abdominal pain, impaired gallbladder contraction, cessation of passing gas, abdominal distension, closed-loop bowel obstruction, sudden pain, periumbilical episodic colic",Gallstone Ileus,Gastroenterologist
"Chest tightness, shortness of breath, difficulty in breathing",Tension Pneumothorax,General Physician
"Ear pain, otorrhea, pain behind the ear, fever, fatigue",Postauricular Subperiosteal Abscess,General Physician
"The initial symptom is reddening of the skin on the flexor side of the digits, progressively thickening into yellow keratotic material. The surface appears smooth, resembling multiple corns, and generally occurs symmetrically on both sides without subjective symptoms. A few patients may also have involvement of the elbows, knees, shins, and ankles, but the arches of the feet are not affected. Thickening of the nail plate is dull and may also be accompanied by congenital alopecia, often co-occurring with mental illness, tremors, and hemiatrophy.",Palmoplantar Keratoderma,General Physician
"Skin itching, limb pain, aseptic bone necrosis, paraplegia, urinary and fecal incontinence, joint pain, abdominal pain, headache, dermatomal contracture, increased pulmonary water content",Decompression Sickness,General Physician
"Fever, loss of appetite, vomiting, diarrhea, frequent urination, urgency to urinate, pain during urination, crying during urination",Pediatric Urinary Tract Infection,General Physician
"Respiratory failure, cough, arrhythmia, wheezing, dyspnea, cyanosis, coma, convulsions, apathy, muscle tremors, somnolence, stupor",Elderly Respiratory Failure,Pulmonologist
"Hemiplegia, Aphasia, Vertigo, Ataxia, Cough due to aspiration",Acute Cerebrovascular Disease,Neurologist
"Upper abdominal pain, weight loss, nausea, and vomiting",Subdiaphragmatic Esophageal Diverticulum,General Physician
"Nausea and vomiting, abdominal pain, a metallic sweet taste in the mouth, drooling, diarrhea, black stools, seizures and seizure-like episodes, headache, dizziness, palpitations, hepatomegaly, and convulsions.",Childhood Lead Poisoning,General Physician
"Chest tightness, fatigue, palpitations, shortness of breath, excessive sweating or persistent fever, weight loss, pale complexion, dizziness, with severe cases exhibiting cyanosis of lips and nails, and restlessness.",Cardiac Anxiety,Cardiologist
"Periorbital edema, facial flushing, lacrimation, hypotension, dizziness, anemia, cachexia",Pancreatic Neuroendocrine Tumors,Oncologist
"Dizziness, blurred vision, unsteady gait",Vertebrobasilar Insufficiency (VBI),General Physician
"Dizziness, fatigue, loss of appetite, weight loss",Tar Melanosis,Dermatologist
"Orange or brown-red papules, nodules or plaques, hypothyroidism, mucosal damage, diabetes insipidus, papules, granuloma, itching, and nephrotic syndrome, asphyxia.",Xanthoma,General Physician
"Exanthema, dementia, conduction block, episcleritis, macular cystoid edema, keratitis, psychiatric disorders, meningitis",Lyme Scleritis,General Physician
"Triad sign, abdominal pain, back pain, abdominal mass, obstructive jaundice, hypotension, nausea and vomiting, abdominal distension, shock, dizziness, loss of consciousness, cold extremities",Ruptured Abdominal Aortic Aneurysm,General Physician
Deafness,Pseudodeafness,General Physician
