disease,symptom
Shunt Hyperbilirubinemia Syndrome,"jaundice, splenomegaly, increased urobilinogen excretion, elevated bilirubin, and erythrocytosis"
Superficial Thrombophlebitis,"Local venous cord-like hardening, general malaise, and red streaks of superficial veins"
Retinal Disease,"Decrease in vision, headache, retinal hemorrhage, blindness"
Type IV Spinal Vascular Malformation,"Characterized by progressive myelopathy with pain, weakness, sensory and sphincter dysfunction"
Achondroplasia in Children,"At birth, noticeable short limbs, particularly in the upper arms and thighs, with a normal trunk, characteristic dwarfism in adults, enlarged head, prominent forehead, flat nasal bridge, and waddling gait."
Pseudomembranous Colitis,"Fever, diarrhea, abdominal pain, bloating, sepsis, shock, loss of appetite, high fever, tachycardia"
Xanthomatosis,"Skin itching, neoteric skin rash, dermatitis-like lesions"
Office Syndrome,"Headache, nausea and vomiting, dizziness, irritability"
Colorectal Neoplasms in the Elderly,"Hematochezia, unexplained fever, decreased immunity, malnutrition"
Asbestosis,"Pulmonary interstitial fibrosis, pleural thickening, shortness of breath, difficulty breathing, cough, chest pain, expectoration, hemoptysis, rales, back pain, sternal pain, mucopurulent sputum"
Poliomyelitis (Infantile Paralysis),"Fever, irritability, coughing or nausea and vomiting, diarrhea, headache, muscle pain, atrophy or deformity of limbs, leading to limping or inability to stand"
Preeclampsia,"Elevated blood pressure during pregnancy, headache, dizziness, edema, proteinuria, seizures"
Metatarsal Fracture,"Localized pain, tenderness, fatigue, weakness, and limitations on continued walking"
Glaucoma Induced by Vitrectomy and Retinal Detachment Surgery,"Acute increase in intraocular pressure, nausea, vomiting, pain in the eye, eyelid edema, conjunctival congestion"
Pediatric Cirrhosis,"Poor appetite, nausea, vomiting, abdominal distention, diarrhea, wasting, fatigue, ascites"
Bruxism,Unconsciously clenching teeth during the day and grinding teeth at night
Riedel's Thyroiditis,"Dysphagia, dyspnea, hoarseness"
Necrotizing fasciitis,"Joint or near-joint tenderness, stabbing pain, numbness, ligament tenderness"
Neonatal Acute Renal Failure,"Anuria, oliguria, edema, pallor, weight gain, heart failure, polyuria, anorexia, hypertension, hyperkalemia, hypocalcemia, metabolic acidosis"
Acute Tonsillitis,"Dysphagia, chills, high fever, sore throat, tonsil congestion, tonsil inflammation, enlarged tonsils"
Tentorial Meningioma,"Visual impairment, optic disc edema, hemianopia, headache vomiting, consciousness disorders, respiratory dysfunction, epileptic seizures"
Neonatal Polycythemia-Hyperviscosity Syndrome,"Oliguria, hematuria, newborn dyspnea, cyanosis, proteinuria, vomiting, anorexia, convulsions, restlessness, somnolence, heart failure, thrombocytopenia"
Lipoid Proteinosis,"Hoarseness, nodules, hair loss, papules, pigmentation abnormalities, diabetes, abnormal hair, dental anomalies"
Myelophthisic Anemia,"Anemia, fatigue, dizziness, tinnitus, insomnia, frequent dreams, memory decline, shortness of breath"
Desmoid Tumor,Abdominal mass
Pituitary Dysfunction Associated Psychiatric Disorders,"Irritability, anxiety, consciousness disorders, catatonia, stupor, mania, dizziness, mood depression, dementia, hallucinations, depression, poverty of thought"
Pediatric Acute Hematogenous Osteomyelitis,"High fever, coma, delirium, shock, fever, abscess, joint pain, chills with high fever, bone marrow damage, brain abscess, restlessness, refusal to eat"
SARS Gastrointestinal Infection,"Nausea and vomiting, loss of appetite, diarrhea, watery stools, fever, abdominal pain"
Laryngeal Contusion,"throat swelling and pain, fever, dysphagia"
Aortopulmonary Septal Defect,"Palpitations, tachycardia, abnormal breathing, cyanosis, cough, dyspnea, fatigue"
Posterior Fossa Ependymoma,"Headache, nystagmus, vomiting, diplopia, neck pain, unstable gait, decreased muscle tone, symptoms of brain damage"
Phlegm-Dampness Headache,"Headache, dizziness, chest oppression, nausea, phlegm, fatigue, decreased appetite, and dull facial complexion"
Consumptive Disease,"Night sweats, irritability, shortness of breath, aversion to cold, weakness, palpitations, cold limbs, weak pulse"
Nasal Foreign Body,"Persistent purulent nasal discharge, nasal obstruction, nasal bleeding"
Pediatric Dynamic Intestinal Obstruction,"Severe periumbilical pain, episodic or persistent, nausea, vomiting, cessation of bowel movements and gas"
Basilar Invagination,"headache, dizziness, tinnitus, vomiting, neck stiffness, weakness in lower limbs, difficulty walking, paralysis of limbs, difficulty breathing"
Venomous Insect Stings and Bites,"Skin redness, skin swelling, fever"
Atlantoaxial Fracture and Dislocation,"Limb paralysis, difficulty breathing, sensory disturbances, paralysis"
Chilblains,"Appearance of erythematous or dark red maculopapules, nodules on fingers, toes, heels, nose, and ears when exposed to cold. Severe cases may present with vesicles and ulcers, usually accompanied by itching or a burning sensation."
Primary Peritoneal Carcinoma,"Abdominal pain, abdominal distension, increased abdominal circumference"
Cesarean Section,"Irregular contractions, cervical dilation failure, pelvic narrowing"
Congenital Absence of the Vas Deferens,Male Infertility
Chronic Renal Failure in the Elderly,"Anemia, hypertension, seizures and seizure-like episodes, uremia, speech disturbances, muscle fasciculations, hemiplegia, consciousness disturbances, dehydration, water retention, bradycardia, atrioventricular block"
Thoracic Spinal Stenosis,"Pain in the thoracic and back region, discomfort due to acid distension, numbness in the lower limbs, weakness, soft legs, intermittent claudication, a sense of constriction in the chest and abdomen, difficulty breathing, and weakness in urination and defecation."
Glycogen Storage Disease Type VI,"Hepatomegaly, growth retardation, mild hyperlipidemia, and elevated transaminases, growth delay"
Acute Post-Infectious Glomerulonephritis in the Elderly,"Hematuria, proteinuria, hypertension, edema, decreased glomerular filtration rate, oliguria, anuria, renal involvement, interstitial nephritis, wound infection, urinary frequency with urgency and dysuria, fatigue"
Retraction Syndrome,"Diplopia, anisometropic amblyopia, strabismus, ocular deviation, proptosis"
Duodenal Fistula,"Diarrhea, vomiting, duodenal stricture"
Alcoholic Liver Disease,"Nail changes to spoon shape, skin aging, jaundice, alcohol craving, darkening of the nose, nausea, vomiting, enlarged and tender liver"
Intestinal Polyposis,"Diarrhea, mucoid stools, watery stools, hematochezia, abdominal discomfort, weight loss, anemia, polyps, abdominal pain"
Urticaria and Angioedema,"Skin hives, swelling, difficulty breathing, palpitations"
Hereditary Symmetrical Dyschromatosis,"Freckles, Pigmentary Spots, Pigment Loss, Pigmentary Abnormalities"
Pharyngeal Burn,"Oral pharyngeal pain, dysphagia, difficulty swallowing, salivation, high fever, drooling, cough, speech disorder, wheezing, difficulty breathing"
Epilepsy in Pregnancy,"Rage, Trembling, Convulsions, Urinary and Fecal Incontinence, Cyanosis, Throat Spasms, Stupor, Seizures"
Atrioventricular Canal Defect,"Growth retardation, chest deformity, systolic and diastolic murmurs, hepatomegaly, atrioventricular canal defect, cyanosis, cardiac murmur, palpitations, respiratory abnormalities, cardiomegaly, heart failure, dyspnea on exertion"
Pulmonary Actinomycosis,"Fever, cough, expectoration, hemoptysis, irregular fever, mucopurulent sputum, blood-tinged sputum, fatigue, night sweats, weight loss, difficulty breathing"
De Quervain's Tenosynovitis,"Pain on the radial side of the wrist, limited flexion and extension of the wrist, inability to exert force, difficulty in wringing out towels, and exacerbated by fatigue."
Otitis Media with Effusion,"Inner ear swelling and pain, blood-stained ear discharge, Eustachian tube blockage, otorrhea, ear bleeding upon probing, fever in children, ear effusion, tinnitus, blood-stained ear secretions, febrile infection"
Thyroid Adenoma,"Palpitations, weight loss, fatigue, hyperthyroidism, thyroid storm, hoarseness, dyspnea, dysphagia"
Catecholaminergic Polymorphic Ventricular Tachycardia (CPVT),"Rapid heartbeat, blackouts, dizziness, blurred vision, urinary incontinence and enuresis, palpitations, shortness of breath, syncope, catecholaminergic dependency, interstitial fibrosis, sudden death, ectopic tachycardia"
Abdominal Distension Pain,"Sudden protrusion of the abdomen or epigastric area, colic pain, intolerable intermittent severe pain, limbs coldness, or presenting with nausea, vomiting, borborygmus with a desire to defecate but unclear diarrhea, pale face"
Pterygium,"Conjunctival congestion, marginal corneal ulcer, and visual impairment"
Pallidal-nigral-rubral pigmentary degeneration,"Paralysis, localized muscle rigidity, choreoathetoid movements, decreased intelligence, eyelid spasms, dysphagia, slurred speech, tremors, easy to fall"
Chronic atrophic gastritis,"Abdominal distension, abdominal pain, upper abdominal discomfort, early satiety, burping, nausea, indigestion, loss of appetite"
Sellar Meningioma,"Decreased vision, headache, polydipsia, polyuria, obesity, somnolence"
Scorpion Sting,"Pain, swelling at the sting site, high fever, nausea and vomiting, fainting"
Cold Stagnation,"Indigestion, intermittent exposure to cold, the pores closing and not opening, encountering wind and cold leading to blood and qi congealment"
Posterior Urethral Valve in Children,"Poor urination, urinary incontinence, acute urinary retention, dehydration"
Spleen Fatigue,"Feeling of fullness and discomfort in the heart and abdomen, vomiting and swallowing of sour fluid, sallow complexion, persistent pain in the heart and abdomen, diarrhea, cold reversal in hands and feet, soreness in bones and joints, and progressive weight loss"
Elevated Episcleral Venous Pressure-Induced Glaucoma,"Pulsatile tinnitus, congestion, cyanosis, diplopia, elevated intraocular pressure, red eye, seizures, varicose veins"
Macrothrombocytopenia,"Epistaxis, thrombocytopenic purpura, postpartum hemorrhage, menorrhagia, skin purpura, bruising, visceral bleeding, hemorrhage into the joints, absence of hepatosplenomegaly"
Psychiatric Disorders Resulting from Fluid and Electrolyte Imbalance,"Dehydration, hallucinations, water intoxication, psychiatric disorders, paralysis, seizures, hyperreflexia, dizziness, tremors, chest tightness, coma, heart failure"
Cerebral hemorrhage,"Motor and speech disorders, vomiting, disturbance of consciousness, headache, dizziness"
Cutaneous Diphtheria,"Ulceration, diphtheritic pseudomembrane formation, adhesive scab, hemorrhagic crust"
Chronic Catarrhal Conjunctivitis,"itchy eyes, dryness, stinging, foreign body sensation, heavy eyelids, and visual fatigue"
Meralgia Paresthetica,"Pain, numbness, tingling, burning, and weakness in the anterolateral aspect of the thigh."
Menorrhagia and Metrorrhagia,The onset of the disease is characterized by a sudden and profuse bleeding or a gradual bleeding with minimal but persistent flow.
Malignant Fibrous Histiocytoma of Bone,"Swelling and pain in the long bones, bone pain, poor fibrous structure"
Type II Immunoblastic Lymphadenopathy,"Fever, papules, lymphadenopathy, splenomegaly, hepatomegaly"
Ovarian Gonadoblastoma,"Pelvic mass, heavy menstruation or amenorrhea, breast atrophy, hirsutism"
Multiple Organ Dysfunction Syndrome in Elderly,"Metabolic acidosis, hypoxemia, pulmonary infection, hypercoagulable state, hypercapnia, dyspnea, respiratory failure, jaundice"
Primary Vesicoureteral Reflux in Children,"Frequent urination, dysuria, abdominal pain, somnolence, asthenia"
External Auditory Canal Furuncle,"Pulsatile ear pain, aggravated pain while opening the mouth and chewing, severe pain may radiate to the ipsilateral head, affecting the patient's sleep, hearing impairment due to swelling of the external auditory canal."
Chest Wall Bone Tumor,Chest Pain
Pediatric Asymmetric Somatotype-Short Stature-Sexual Development Disorder Syndrome,"Broad interocular distance, drooping corners of the mouth, short and curved fifth finger, respiratory distress, reduced intelligence, spinal and limb deformities, abnormal body shape, hypospadias, precocious puberty, facial asymmetry, easy fatigue, hypoglycemia"
Allergic Conjunctivitis,"Conjunctival hyperemia, edema, mucous secretions, swelling of eyelid skin"
Bladder and Urethral Foreign Bodies,"Hematuria, urinary frequency, urinary urgency, dysuria"
Bilateral Renal Agenesis,"Abnormal breathing, respiratory failure, anuria, abnormal dry and lax skin, hands relatively large and claw-shaped, bell-shaped chest"
Bipolar Disorder,"Mania, accelerated thinking, elevated mood, depressed mood, anxiety, insomnia"
Pediatric Brain Tumors,"Altered consciousness, slow breathing, vomiting, headache, visual impairments"
Unilateral and Bilateral Facet Dislocation of the Cervical Spine,"Paralysis, Forced Posture, Radicular Pain"
Yaws,"Periostitis, Papules, Anorexia, Tinea Corporis, Headache, Chills, Molluscum contagiosum, Lymphadenopathy"
Breast Cyst,"Breast swelling and pain, breast heat, abnormal mammary secretion"
Intestinal Disease,"Abdominal pain, diarrhea, constipation"
Pregnancy Complicated by Cytomegalovirus Infection,"Miscarriage, stillbirth, neonatal death"
Hepatolenticular Degeneration,"Upper gastrointestinal bleeding, abdominal wall vein distension, abdominal distension, paraplegia, consciousness disorder, poor appetite, fatigue, hepatosplenomegaly, ascites, spider nevi, isolated ALT elevation, behavioral and emotional abnormalities"
Floaters,"Shadows covering the vision field, decline in visual acuity, visual field defects"
Chronic Epididymitis,"Scrotal pain, a feeling of heaviness or fullness, with pain that may radiate to the lower abdomen and the root of the thigh"
Pediatric Renal Tubular Acidosis,"Nephrocalcinosis, kidney stones, growth delay, dehydration, polydipsia, polyuria, poor appetite, vomiting, hypokalemia, bone pain, spontaneous fractures"
Diabetic Retinopathy,"Polyuria, polydipsia, hypertension, anemia, optic atrophy, retinal hemorrhage, retinal edema, retinal detachment"
Persin Poisoning,"Nausea and vomiting, abdominal pain, dizziness, fatigue, drooling, abnormal sweating, shock, coma, pupil abnormalities, headache, cyanosis"
Folic Acid Deficiency,"Reduced appetite, abdominal distension, diarrhea, glossitis, fatigue, numbness in hands and feet, sensory disturbances, difficulty walking"
Pediatric Hemangioma,"Dark red or purplish-red patches on the head, face, and neck"
Borderline Ovarian Tumor,"No specific symptoms or abdominal discomfort, gastrointestinal symptoms, urinary tract symptoms, acute abdomen"
Wilson's Disease in Children,"Fatigue, poor appetite, fever, pain in the liver area, hepatomegaly, jaundice, splenomegaly, cirrhosis"
Leptospirosis Pneumonia,"Fever, chills, headache, lymphadenopathy, hemoptysis, coma, cough with bloody sputum, pulmonary infection, shock, interlobar fissures often presenting as arc-shaped drooping, rales, and signs of meningeal irritation"
Henoch-Schonlein Purpura Nephritis in Children,"Hematuria, Proteinuria, Edema, Arthralgia, Colic, Vomiting of Blood, Melena"
Rib Osteomyelitis,"Localized redness, swelling, heat, pain, chest wall sinus tract, sternal swelling and pain"
Esophageal Perforation by Foreign Body,"Retrosternal pain, dysphagia, shock"
Otitis Externa Eczematous,"Pruritus, itching, papules, desquamation, skin fissures, crusts, external auditory canal stenosis, conductive hearing loss, tinnitus"
Pediatric Congenital Testicular Hypoplasia,"Undeveloped testicles, taller stature, distance between fingertips greater than height, often enlarged breasts, lack of beard, absence of Adam's apple, fair skin, small testicles, small penis, possible cryptorchidism or hypospadias, underdeveloped pubic hair, introverted personality, shy, inactive, timid, lack of masculine traits."
Infective Endocarditis-Related Kidney Damage,"Hematuria, proteinuria, fever, malaise, tachypulse, bradycardia, heart failure, chronic kidney failure, back pain, high fever with chills, infective vegetations, palpitations"
Vulvar Schistosomiasis,"Vulvar itching, vulvar skin swelling, vulvar burning and prickling sensation, itching that worsens at night, papules, angiogenic edema, lymphadenopathy, fever, splenomegaly, abdominal pain, septic fever, diarrhea"
Posttraumatic Psychiatric Disorders,"Headache, dizziness, vertigo, nausea or vomiting, sensitivity to sound and light, emotional instability, easy fatigue, distractibility, memory impairment, insomnia, and frequent dreaming"
Graves' Ophthalmopathy,"Exophthalmos, eyelid congestion and edema, and periorbital tissue fullness"
Seminal Vesicle Calculi,"Frequent urination accompanied by urgency and pain, male sexual dysfunction, anal pain, vulvar pain, painful ejaculation, hematospermia, and poor urine flow"
Head Trauma,"Localized bleeding, pain, dizziness, headache"
Clostridial Wound Infection,Local ulceration and bleeding
Dental Abscess,"Periodontal pain, swelling, purulent discharge"
Giardiasis Lamblia,"Abdominal pain, diarrhea, bloating, vomiting, fever, anorexia"
Helicobacter pylori Infection in Children,"Irritability, poor appetite, nausea, sudden vomiting of blood, black stools, acid reflux, anemia, abdominal pain, periumbilical pain"
Arterial Occlusion or Stenosis Retinopathy,"Sudden transient blackout in one eye, homonymous hemianopia, carotid pulse"
Elastofibroma Dorsi,"Nodules, nodular sclerosis, multiple nodules"
Trachoma,"Symptoms include itching, dryness, tearing, and if the cornea is involved, it can lead to the prolapse of the reddish membrane under the eyelid, blood spots covering the cornea, and eventually trichiasis and corneal opacity."
Diabetic Nephropathy in the Elderly,"Glycosuria, proteinuria, edema, chronic renal insufficiency, increased blood viscosity, abnormal lipid metabolism, hyperglycemia, nephrotic syndrome, hypertension, lipid metabolism disorder, water and salt metabolism disorder, fatigue"
Osteochondroma,"Dull pain, trunk deformity bending, limb deformity, swelling of fingers (toes)"
Sporotrichosis,"Subcutaneous nodules, ulcers, leukoplakia on mucosa, fever, papules, nodules"
Tetanus,"Opisthotonos, lockjaw, convulsions"
Chronic Persistent Glomerulonephritis in Children,"Proteinuria, Hematuria, Edema"
Castleman's Disease,"Low-grade fever, hepatosplenomegaly, high fever, keratitis, lymphadenopathy, anemia, nephrotic syndrome, slow growth"
Duodenal Carcinoid,"Cachexia, vomiting, abdominal pain, bloody stools, anemia, melena, jaundice, diarrhea"
Herpes Simplex Virus Scleritis,"Visual impairment, photophobia, tearing"
Trichiasis,"Foreign body sensation in the eye, photophobia, tearing, pain, red eye, increased eye discharge"
Olecranon Fracture,"Fracture, pain, swelling, infection"
Hepatitis dual infection,"Jaundice, nausea and vomiting, minor hepatitis B surface antigen positive, hematemesis and melena, hepatomegaly, fatigue"
Pregnancy-associated Idiopathic Thrombocytopenic Purpura,"Fever, skin petechiae and ecchymosis, nosebleeds, hematuria, gastrointestinal bleeding, and intracranial hemorrhage"
Sunburn,"Erythema-like rash, well-demarcated erythema elevated above the skin, diffuse red swelling of the skin, itchy skin, vesicular or bullous lesions, malaise, headache, palpitations"
Bronchopneumonia,"Irregular fever or high fever, cough with sputum production, difficulty breathing, loss of appetite, diarrhea, vomiting"
Chronic Mastoiditis,"Otorrhea, tympanic membrane perforation, hearing loss"
Pediatric Vulvitis,"Swelling and redness of the vulva, itching, irritability and crying"
Popliteal Artery Entrapment Syndrome (PAES),"Absence of dorsalis pedis artery pulse, calf muscle cramps after walking, intermittent claudication, pallor of the skin"
Paraurethral gland cancer,"Difficulty urinating and urinary retention, frequent urination accompanied by urgency and pain, cord-like masses in the urethra, nodular or hemorrhagic masses at the urethral opening, local swelling of the urethra, and painful urination"
Juvenile Dermatomyositis,"Gottron's signs, dyspnea, joint contractures, muscle weakness, rash, joint pain, muscle soreness, heliotrope rash over the eyelids, muscle atrophy, fatigue, weight loss, hepatosplenomegaly"
Eosinophilic Gastroenteritis,"Abdominal pain, nausea and vomiting, diarrhea, upper gastrointestinal bleeding, malabsorption syndrome, iron-deficiency anemia, weight loss, colonic obstruction, peptic ulcer, intussusception"
Pectoralis Minor Syndrome,"Fullness feeling in hands and fingers while working, numbness and tingling in forearms and fingers, tenderness under the coracoid process"
Ruptured Ovarian Corpus Luteum Cyst,"Abdominal pain, vaginal bleeding, nausea, vomiting"
Xerostomia,"Abnormal saliva secretion, throat discomfort"
Constipation,"Dry stools, constipation, abdominal pain"
Congenital Esophageal Diverticulum,"Dysphagia, esophageal lumen obstruction, esophageal spasm, abnormal breathing, fistula between the airway and esophagus, difficulty swallowing when extending the neck"
Acute Patellar Dislocation,"Joint pain, abnormal Q-angle, patellar apprehension, tenderness, joint deformity"
Epiretinal Membrane,"Decreased vision, micropsia, metamorphopsia, monocular diplopia"
Temporomandibular Joint Disorder,"Abnormal mandibular movement, pain, clicking, and noise"
Pediatric Encephalitis,"Fever, headache, vomiting, somnolence, coma, seizures"
Klebsiella pneumonia,"Cough, expectoration of thick yellow sputum, chills and fever, chest pain, difficulty breathing, anorexia, fatigue, somnolence, restlessness, and moist rales"
Left Anterior Fascicular Block (LAFB),There are usually no significant clinical symptoms or signs.
Cricopharyngeal Achalasia,"Anxiety, gurgling breath sounds, choking cough, gurgling sensation in the neck when swallowing, difficulty swallowing, pain upon swallowing, weight loss."
Food Allergy-Induced Asthma,"Rash, Laryngeal Edema, Asthma, Diarrhea"
Gastric Dullness,"Decreased appetite, reduced food intake"
Pediatric Tuberculosis,"Low fever, night sweats, fatigue, reduced appetite, weight loss, insomnia"
Vulvar Tuberculosis,"Nodules, severe pain, ulcers, chronic ulcers, papules, edema, pain during intercourse"
Bartter Syndrome,"Hemoglobinuria, pyuria, proteinuria, hypokalemia, polyuria, polydipsia, paralysis, intestinal paralysis, arrhythmia, salt craving, weight loss, constipation"
Upper Extremity Deep Vein Thrombosis,"Swelling, pain, cyanosis of the skin, and superficial vein varicosity in the upper limb"
Elderly Hemolytic Anemia,"Jaundice, lymphadenopathy, immune hemolysis, skin purpura, splenomegaly, anemia, hemolytic anemia, hepatomegaly"
Adrenal Tumor,"Dizziness, headache, chest tightness, chest pain, palpitations, blurred vision, mental tension, anxiety, heat intolerance, sudden severe headache, palpitations with chest tightness and pallor, profuse sweating, shortness of breath, and a feeling of impending doom"
Compartment Syndrome,"Deep subcutaneous fascial progressive necrotizing infection, body pain, neck and shoulder pain, joint pain, lower leg or forearm compartment syndrome, fascial pain"
Acute Eosinophilic Pneumonia,"Arc-shaped drooping between lobes, persistent fever, peripheral opacity in the lower lobes of the lungs with segmental or lobar distribution, high fever with chills, presence of dry and wet rales and wheezing in the lungs, fever, purulent lung infections, increased neutrophils, solitary nodules in the lungs on chest radiographs, restlessness, body pain, tracheal compression"
Pyrethroid Insecticide Poisoning,"Increased nasal discharge, bradycardia, vomiting, difficulty breathing"
Mycobacterium marinum Infection,"Nodules, cutaneous granulomas, and skin lesions commonly occurring on the elbows, knees, hands, feet, fingers, toes, ankles, and lower legs which are prone to external injuries"
Pressure Ulcer,"Redness, blisters, and ulcers in pressured areas"
Plasmacytoma,"Tendency to bleed, proteinuria, amyloidosis, fatigue, radicular pain, hypercalcemia, hyperuricemia, elevated blood urea nitrogen"
Umbilical Hernia,"A reducible spherical or semispherical swelling in the umbilical area, swelling, and pain"
Diaphyseal Aclasis,"Multiple exostoses, metaphyseal dysplasia"
Hypoplastic Left Heart Syndrome (HLHS),"Cyanosis, Dyspnea, Respiratory Distress, Tachypnea, Shock, Hypoxemia"
Pharyngotonsillitis,"Sore throat, difficulty swallowing, bad breath"
Congenital Adrenal Hyperplasia (CAH),"Excess androgens, ambiguous genitalia, masculinization, poor appetite, vomiting, somnolence, hyponatremia, hyperkalemia, hypovolemic shock, urogenital sinus, labial fusion, clitoromegaly"
Pharyngeal Stenosis and Atresia,"Nasal congestion, dyspnea, cyanosis, olfactory disturbances, snoring, Eustachian tube obstruction, decreased hearing, choking cough"
Cutaneous T-Cell Lymphoid Hyperplasia,"Nodules, Papules, Red Scaly Patches"
Cystocele,"Urinary incontinence, urethral discharge of mucus or purulent secretion, localized urethral swelling, urethral discharge, pain at the urethral meatus"
Mediastinal Cysts and Tumors,"Cough, dysphagia, edema, cyanosis, difficulty in breathing"
Ear Tumor,"Abnormal proliferation, swelling, pain"
Sexual Dysfunction Associated Psychiatric Disorders,"Emotional changes, motivational disorders, abnormal appetite or libido"
Postpartum Collapse,"Nausea, pallor, cold extremities, dizziness, weakness, low blood pressure, fainting, generalized sweating"
Subacute Necrotizing Myelopathy,"Distal muscle atrophy of the lower limbs, early spastic paraplegia, late flaccid paraplegia, tendon reflexes hyperactive in early stage and absent in late stage"
Sleep-Wake Rhythm Disorder,Daytime sleepiness and nighttime insomnia
Nephrogenic Encephalopathy,"Nausea, vomiting, edema, somnolence, stupor"
Tourette Syndrome,"Nodding, head shaking, neck stretching, torticollis, blinking, shrugging, pouting, trunk twisting, involuntary abdominal gyrations"
Quinine Poisoning,"Headache, abdominal pain, nausea and vomiting, tinnitus, diarrhea, vision impairment, abnormal sweating, shock, delusions of loss of time and space perception, pupil abnormalities, hearing impairment, allergic reactions"
Traumatic Ulcerative Stomatitis,"Oral pain, oral swelling, difficulty swallowing"
Abdominal Aortic Aneurysm in the Elderly,"abdominal mass, upper abdominal discomfort, upper abdominal pain, periumbilical pain, long-segment ascending aorta hypoplasia, high arched palate, thinness in old age, reduced arterial blood oxygen saturation, dissecting hematoma, hemorrhagic pleural effusion, pulselessness, jaundice"
Hallux Rigidus,"joint pain, joint swelling, pain and swelling in the first metatarsophalangeal joint"
Hemangioblastoma,"Headache, dizziness, vomiting, papilledema, decreased vision, unsteady gait, diplopia, dysphagia, hoarseness, hiccup."
Abdominal Mass,"Abdominal pain, diarrhea, constipation, abdominal distension"
Postmenopausal Osteoporosis,"Back pain, decreased height, kyphosis, and increased susceptibility to fractures"
Delayed Puberty and Hypogonadism,"Low blood pressure, polyuria, hypothyroidism, anxiety, anorexia nervosa, vision impairment, visual field defect, barrel chest"
Bacterial Prostatitis,"Fever, chills, generalized body aches, fatigue, loss of appetite, perineal and anal discomfort, frequent urination, urgency, dysuria, difficulty urinating, and hematuria"
Pertussis,"Paroxysmal cough resembling a bark, fever, rhinorrhea, cyanosis of the lips, tearing, convulsions, urinary and fecal incontinence, edema, and inspiratory stridor"
Hypothalamic Hyperhidrosis,"Night sweats, compensatory hyperhidrosis in the upper body, episodic focal sweating"
Herpetic Keratitis,"Photophobia, tearing, foreign body sensation, eye pain, reduced vision"
Heterochromic Iridocyclitis,"Spontaneous intraocular hemorrhage, visual impairment, purulent accumulation in the eyeball leading to blindness, blue iris, sudden and rapid increase in intraocular pressure, formation of gray-white tumor nodules on the surface of the iris, photophobia, tearing"
Ischemic Stroke,"Weakness to paralysis of limbs, sensory or speech disorders, monocular blindness, a minority have consciousness disorders, vertigo, diplopia, unstable gait, tinnitus, and disorders of hearing and swallowing, etc."
Hemophilia,"Skin hemorrhage, uncontrollable bleeding, intractable hemorrhage"
Syphilitic Osteochondritis,"Abscesses, thickening of the long bones, paralysis, spasms and dull pain in fingers (toes) and calves, muscle atrophy, pain in right chest, and chest wall pain"
Tinea (Ringworm),"Rash, itching, blistering"
Tubal Obstruction Infertility,"Abnormal vaginal discharge, lower abdominal discomfort, infertility"
Pilonidal Disease,"Skin itching, fever, pain"
Phlegm Retention,"Weak sputum expulsion, hot phlegm with bad breath, dizziness, post-exercise dizziness, throat discomfort, phlegm-heat congealing, phlegm-fire obstructing the clear orifices, frothy sputum expulsion, general lethargy in the limbs"
Age-related Macular Degeneration (AMD),"Visual impairment, distortion of vision, blurred vision"
Cherry Hemangioma,"Capillary dilation, red skin spots"
Lichen Scrofulosorum,Millet-sized papules with fine scales on top
Glomerulonephritis,"Renal edema, proteinuria"
Masticatory Dysfunction,"Decreased masticatory function, facial asymmetry"
Female Androgenetic Alopecia,"Complete baldness, abnormal hair, diffuse hair loss, thinning hair on the top of the head"
Biliary Calculi,"Upper right abdominal colic, vomiting"
Nutritional and Metabolic Disorder Dermatosis,"Conjunctival congestion, corneal vascular proliferation, perleche, fissures"
Bacillary Dysentery (Shigellosis),"Dysentery-like stools, dysentery, drooping corners of the mouth, bromine and salty taste in the mouth, cracked corners of the mouth"
Petroclival Meningioma,"Headache, increased intracranial pressure, abnormal gait"
Atrial Tachycardia,"Ectopic tachycardia, Retrograde atrioventricular reentrant tachycardia, Tachycardia"
Wrinkle Removal,"Skin laxity, wrinkling, and aging on body parts"
Retroperitoneal Tumor,"Splenomegaly, palpable mass in the upper abdomen, abdominal pain, weight loss, ascites, diarrhea, fatigue, poor appetite, anemia, fever, jaundice"
Catarhal Rhinitis,"Nasal congestion, runny nose, headache, sneezing"
Sclerosing Osteomyelitis,"Joint pain, bone marrow damage, fever"
Hyphema and Glaucoma,"Eye fatigue, red blood level at the bottom of the anterior chamber, eye pain"
Chronic Lumbar Strain,"Lower back pain, aggravated by fatigue, inability to sit or stand for long periods, frequent need to change body position"
Pediatric Polycystic Kidney Disease,"Low back pain, abdominal mass, hematuria"
Unstable Angina,"Angina, chest pain, nausea and vomiting, palpitations, instability of angina, precordial discomfort, arrhythmias, dyspnea, mild pain, panic, abnormal breathing, constricting pain"
Vocal Cord Nodules,"Dyspnea, Hoarseness, Aphonia, Abnormal Voice, Hoarseness, Raspy Voice"
Dermatophytosis,"Skin rash, desquamation, pruritus"
Cryptococcal Meningitis,"Headache, nausea and vomiting, low fever, lethargy, general malaise, hemiplegia, seizures, and irregular breathing"
Cysticercosis,"Pea to millet-sized round or oval-shaped nodules, cysts"
Central Retinal Artery Occlusion (CRAO),"Visual impairment, retinal artery occlusion, cherry-red spot at the fovea, abnormal arteriography, abnormal pupil reactions, sluggish light reflex, optic atrophy, enlargement of the blind spot, retinal edema"
